Rack_(torture) 	Shoe 	118.0
Rack_(torture) 	Tire 	311.0
Phone_sex 	Pornography 	155.0
Meds 	Pet 	238.0
Delete_key 	Stage_name 	109.0
Gin 	Jungle 	419.0
Dallas_Cowboys 	Texas 	139.0
Swingers_(1996_film) 	True_Stories_(film) 	128.0
Kayla 	Mize,_Mississippi 	105.0
Anna_Nicole_Smith 	Nudity 	140.0
Honda 	Motorcycle_components 	189.0
Honda 	Motorcycle 	150.0
Finder_(software) 	Pet 	232.0
Finder_(software) 	Freind 	136.0
Department_of_Motor_Vehicles 	Florida 	103.0
Glass 	Pottery 	126.0
Energy 	Enterra_Vipre 	117.0
Atlanta 	Craigslist 	237.0
Atlanta 	Georgia_(U.S._state) 	156.0
Family_(biology) 	List_of_Invader_Zim_characters 	114.0
Family_(biology) 	Ohio 	114.0
Family_(biology) 	Incest 	102.0
Family_(biology) 	Watchdog_(TV_series) 	129.0
Family_(biology) 	Online_chat 	119.0
Diaper 	Plastic 	113.0
Charleston,_South_Carolina 	South_Carolina 	150.0
Jeep 	Stephen_J._Pyne 	249.0
Jeep 	Jeep_four-wheel-drive_systems 	101.0
Celebrity 	Infant 	110.0
Celebrity 	Nudity 	530.0
Celebrity 	Hairstyle 	105.0
Celebrity 	Hairstyles 	277.0
Celebrity 	Gossip 	160.0
Celebrity 	Robbs 	109.0
Harley-Davidson 	Online_chat 	163.0
Harley-Davidson 	Motorcycle 	109.0
Domino_Recording_Company 	Pizza 	133.0
Candy 	Molding_(process) 	145.0
Cartoon_Network 	World_Wide_Web 	122.0
Barrel 	Crate 	187.0
Mower 	Zero-turn_mower 	204.0
Tractor 	Yesterdays_(1933_song) 	233.0
Antique 	Tractor 	152.0
Nursing 	Trivia 	106.0
Shack 	Sperm 	381.0
Candice_Michelle 	Nudity 	281.0
Nausicaa 	Wind 	304.0
André_Messager 	Yahoo! 	132.0
Invention 	United_States 	331.0
Motorcycle 	Suzuki 	121.0
Motorcycle 	Trailer_(promotion) 	232.0
Composer 	Koji_Nakano_(composer) 	102.0
Fidelity 	World_Wide_Web 	109.0
Days_of_our_Lives 	Spoiler_(aeronautics) 	310.0
Sermon 	Sport_Club_Corinthians_Paulista 	137.0
Bankruptcy 	Unsecured_debt 	108.0
Dragon_Ball 	Pornography 	137.0
Dragon_Ball 	Trunks_(Dragon_Ball) 	126.0
Dragon_Ball 	Sailor_Moon 	137.0
Prisoner_(TV_series) 	Strip_search 	107.0
Jermaine_Jackson 	Walters,_Oklahoma 	335.0
Harry_Potter 	Harry_Potter_and_the_Goblet_of_Fire 	148.0
Delta_Dental 	Michigan 	116.0
Maryland 	Ocean_City,_Maryland 	471.0
Handjob 	Heterosexuality 	109.0
Panic 	Shanghai 	174.0
Chat_room 	Senior_citizen 	128.0
Chat_room 	Gay 	131.0
Lotto_Sport_Italia 	Michigan 	113.0
Democratic_Party_(United_States) 	Obituary 	108.0
Democratic_Party_(United_States) 	Johnstown,_Pennsylvania 	108.0
Democratic_Party_(United_States) 	Tribune 	108.0
Democratic_Party_(United_States) 	Pā_(Māori) 	108.0
Latin 	Pussy 	161.0
Latin 	Translation 	147.0
Latin 	Prostitution 	132.0
Box_Elder_County,_Utah 	Software_bug 	123.0
Pug 	Puppy 	123.0
Pug 	Village 	220.0
Big_Shot_(song) 	Roulette 	164.0
Kuma_River_(Russia) 	Sūtra 	112.0
German_Shepherd 	Puppy 	170.0
Discounts_and_allowances 	Fare 	119.0
Discounts_and_allowances 	List_of_auto_parts 	108.0
Discounts_and_allowances 	Shoe 	165.0
Discounts_and_allowances 	Tire 	244.0
Discounts_and_allowances 	Furniture 	252.0
Stocking 	Teasing 	426.0
401(k) 	Fidelity 	154.0
401(k) 	World_Wide_Web 	163.0
Bed_and_breakfast 	Key_West,_Florida 	116.0
Swimsuit 	Vix,_Côte-d'Or 	102.0
Montgomery_County,_Maryland 	Ohio 	127.0
Marlboro_(cigarette) 	Mass 	145.0
Greetings_(1968_film) 	Yahoo! 	181.0
Ohio 	U.S._state 	253.0
Ohio 	Tax 	111.0
Domestic_pig 	Pork 	117.0
Donkey 	Phat_(comics) 	154.0
Donkey 	Nudity 	148.0
Donkey 	Panties 	112.0
Donkey 	Race_and_ethnicity_in_the_United_States_Census 	338.0
Donkey 	Parade 	494.0
Mobile_phone 	Motorola 	121.0
Mobile_phone 	Prepaid_mobile_phone 	166.0
AirAsia 	Ticker_tape 	171.0
2006_World_Baseball_Classic 	Alabama 	179.0
Adolescent_sexuality 	Russian_language 	143.0
Hardcore_punk 	Junkie_(novel) 	256.0
Airplane 	Midwestern_United_States 	136.0
Hentai 	Naruto 	108.0
Hentai 	Teen_Titans 	107.0
Dickie_Bird 	Virgin_Records 	142.0
Anal_sex 	Pornography 	136.0
Brown_Shoe 	Shoe 	197.0
Myspace 	Polka_dot 	102.0
Myspace 	Top_14 	144.0
Myspace 	Pimp 	465.0
Myspace 	World_Wide_Web 	6571.0
One_Life_to_Live 	Spoiler_(aeronautics) 	161.0
Harris_County,_Texas 	Real_estate_appraisal 	114.0
Pilates 	Winsor,_Hampshire 	114.0
Dollz 	Mania 	138.0
Mermaid 	Tattoo 	105.0
Goo_(album) 	World_Wide_Web 	132.0
Jewellery 	Wholesale 	101.0
Fourth_grade 	Geometry 	115.0
Chihuahua_(state) 	Teacup 	119.0
Exhaust_system 	Porsche 	109.0
Game_Boy_Advance 	Read-only_memory 	249.0
Sonya_Mitchell 	Zeigler,_Illinois 	141.0
Match.com 	World_Wide_Web 	127.0
Spades 	Yahoo! 	135.0
Looting 	Race_and_ethnicity_in_the_United_States_Census 	796.0
Looting 	Onion 	334.0
I._A._Richards 	Thumbnail 	149.0
Augustine_of_Hippo 	Florida 	104.0
Bee 	Tumble,_Carmarthenshire 	300.0
Test_cricket 	Typing 	884.0
Departments_of_France 	Jerry_M._Patterson 	194.0
Departments_of_France 	Ohio 	225.0
Departments_of_France 	Family_(biology) 	114.0
Departments_of_France 	Tax 	111.0
Departments_of_France 	Walt_Disney_World 	194.0
Ask.com 	World_Wide_Web 	250.0
Fairy 	Tattoo 	138.0
Fairy 	Wallpaper 	205.0
American_Airlines 	World_Wide_Web 	135.0
Galium_odoratum 	Suzan 	168.0
Yahoo! 	Yellow_pages 	221.0
Yahoo! 	Yahoo! 	125.0
Alta,_Norway 	Gay 	103.0
Chord_(music) 	Guitar 	392.0
Disney's_Polynesian_Resort 	The_Walt_Disney_Company 	110.0
Model_(profession) 	Preadolescence 	111.0
Lebanon 	Lobbying 	206.0
Spanking 	Spanking 	171.0
Credit_card 	Steeplechase 	509.0
Clip_art 	Easter 	288.0
Clip_art 	Microsoft 	170.0
Nevada 	Reno,_Nevada 	156.0
Survivor_(TV_series) 	Survivor_(U.S._TV_series) 	149.0
Asphyxia 	Snuff 	136.0
.tz 	Yamaha_Corporation 	295.0
Annie_(musical) 	Letter_box 	256.0
Ie,_Okinawa 	Toolbar 	200.0
Bedding 	Discounts_and_allowances 	110.0
Familia_(literary_magazine) 	Polanco,_Mexico_City 	129.0
New_Jersey 	Wildwood,_New_Jersey 	126.0
New_Jersey 	Plastic_surgery 	212.0
