Google 	349337
Yahoo! 	299718
Myspace 	289353
EBay 	187633
MapQuest 	135179
Google_Search 	98112
World_Wide_Web 	77627
Hotmail 	53925
Bank_of_America 	46922
Craigslist 	45586
Ask.com 	39873
Internet 	39865
Pornography 	35089
Tattoo 	33113
American_Idol 	28890
Yahoo!_Mail 	28238
Nudity 	27531
Pogo.com 	24672
Southwest_Airlines 	23492
MSN 	23193
Walmart 	22131
Pogo_(comic_strip) 	21819
Horoscope 	19899
Sex 	19512
Telephone_directory 	18828
The_Home_Depot 	17976
AOL 	17675
Amazon.com 	17192
The_Walt_Disney_Company 	16921
Disney_Channel 	16260
Target_Corporation 	16019
Yellow_pages 	14148
Fidelity 	13500
JetBlue_Airways 	13257
J._C._Penney 	13136
Kelley_Blue_Book 	12980
Travelocity 	12903
Sears 	12783
AT&T_Mobility 	12572
Expedia 	12415
Cartoon_Network 	12243
Food_Network 	12006
Verizon_Communications 	11843
RuneScape 	11828
Letter_box 	11651
Prom 	11572
American_Airlines 	11382
Wachovia 	11263
Goggles 	11222
Pussy 	11221
Orbitz 	10492
LimeWire 	10463
Wells_Fargo 	10456
Slingo 	10400
Ticketmaster 	10340
Best_Buy 	10327
Florida_Lottery 	10199
Mega_Millions 	10067
Match.com 	9966
The_Weather_Channel 	9770
Deal_or_No_Deal 	9759
Lottery 	9743
WebMD 	9740
Facebook 	9616
Greeting_card 	9381
Translation 	9234
Lowes_Menswear 	9110
Yahoo!_Games 	9026
Adult_FriendFinder 	8930
CheapTickets 	8391
Capital_One 	8309
Circuit_City 	8113
Om 	7990
United_States 	7810
Furniture 	7734
United_Airlines 	7680
United_States_Postal_Service 	7654
Delta_Air_Lines 	7576
Instant_messaging 	7500
Breast 	7482
Monster.com 	7436
Spanish_language 	7364
User_(computing) 	7346
E-card 	7331
Infant 	7190
Dell 	7122
Hairstyles 	7101
U.S._Bancorp 	7088
Cheating_in_video_games 	7043
Steeplechase 	6938
XXX_(film) 	6938
New_York_Lottery 	6927
Netflix 	6918
Continental_Airlines 	6894
Music_download 	6877
Race_and_ethnicity_in_the_United_States_Census 	6866
Verizon_Wireless 	6719
Toys_"R"_Us 	6586
FAFSA 	6529
Bed_Bath_&_Beyond 	6410
Online_chat 	6389
Clip_art 	6369
Hairstyle 	6348
Ringtone 	6312
Password 	6172
Gmail 	6170
ZIP_code 	6167
Costco 	6086
Nick_Jr._(block) 	6058
Car_rental 	6009
Washington_Mutual 	5986
Shoe 	5951
PayPal 	5916
American_Express 	5874
BlackPlanet 	5852
Florida 	5819
Comcast 	5812
AirTran_Airways 	5756
FedEx 	5748
Swimsuit 	5698
EHarmony 	5651
National_Association_of_Realtors 	5635
HTTP_Secure 	5609
Xanga 	5589
Screensaver 	5522
Univision 	5482
Yahoo!_Messenger 	5445
Dogpile 	5432
Yahoo!_Personals 	5395
Lotto_Sport_Italia 	5384
Photobucket 	5337
Wedding 	5307
Huns 	5276
Pennsylvania_Lottery 	5230
Gay 	5093
Kmart 	5083
Powerball 	5036
U.S._state 	4985
Pregnancy 	4939
California_State_Lottery 	4933
Bikini 	4864
CareerBuilder 	4849
